AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,eyeDetection
6.9177046838501575,-0.22990580778672248,-4.976020320073257,-2.270733692942434,-3.22322116484629,-3.4095207397064553,-2.76115619229209,-0.8288108454152754,-3.757031223905274,-1.8495803387955663,-0.7745672309107363,-2.105902419352729,4.807120136822483,5.433249385461936,0
2.8005321337635376,-4.830275959427725,0.13864364489682846,-1.38771337458222,-11.47288258991883,-2.896338271873856,-2.209631184247386,-2.701168771390627,-14.971475306913476,-13.412221926873725,-4.205278371337489,-2.9768737513820547,2.028241149521743,-3.5819758223004916,0
5.7355377614277385,-2.885185048535578,2.270706778422611,6.438013597703316,-15.653069236707072,-6.321268979889877,-2.2780405783131026,-10.571595069144712,-16.73251865025092,-17.65378109139102,-4.5730567877668715,0.16447642765854886,-1.1136548846402086,1.3658499382226053,0
7.511012594886816,2.2851760297060872,3.7948838790798156,6.403338817307084,-9.641175671265072,-7.062273513578651,-1.9478839325257236,-10.119010817764288,-7.525395076660603,-4.078350980044028,-0.6852969327191021,5.630682450657613,2.4339990474731943,9.76017096773319,0
5.062167597709798,2.2160275986883935,0.15522295801874697,1.958102206840893,-4.539676575707659,-3.500108289614733,-3.1072970087207374,-12.655473589361172,-13.18033244356086,4.800849337593584,2.165314545300774,6.8339716421024725,3.7620510442002946,11.76158087510569,0
-0.007273842809559117,-5.02259159500488,-7.374035289302095,4.388701845050921,-6.797385970346692,-2.650987523036766,-5.534169995274725,-22.850955827462965,-20.98450796977673,-5.959180303103528,-1.0764711485881282,-0.403966824093128,-0.4229604184342546,3.562067552275475,0
-0.660732405088063,-8.572405261138385,-10.62213526253182,3.0557899144601692,-8.551806841352906,-5.635581862562598,-9.16797169552784,-23.91771070353289,-11.22976536979116,-12.123213658341186,-9.200433614373885,-11.328130057108444,-3.2468768313937177,-6.881901290419558,0
5.0341076777155855,-3.0650190228564695,-12.041206124274408,-5.23544874982241,-7.592861689537801,-7.105732230718351,-11.261943179871146,-24.109487263072133,-16.945237336310235,-8.013689458968699,-14.237834281362703,-14.075955552697632,-5.539205547009219,-5.035986746298344,0
6.409459906133473,1.0488721225079565,-13.561179805644525,-8.672411738808341,-6.65827201914953,-6.179049855378715,-7.279535735301341,-30.701572181428336,-34.83374958204706,-8.437778012453437,-7.73975523878159,-6.870038157136177,-0.2638680662758288,5.278124089817863,0
6.417410636694122,1.4583138473034865,-12.678863737892922,-5.717928189721832,-7.199027860154696,-7.93531526703282,-5.445457198743593,-29.704190525363448,-27.683017322438943,-9.10208438674987,3.2563973691452874,-2.2878273037361834,10.654218752518322,8.888367633623407,0
6.596103314608303,0.9763954484060294,-16.039847448862385,-4.418647501442347,-8.589349173020535,-10.962620527223532,-10.385791950544363,-22.07257585790446,-15.258397971496397,-8.805944854303014,1.518532497467258,-7.370700567171609,5.357829421109665,-1.3548618222065163,0
-2.0847332848104454,-7.452739201593255,-29.11083128897119,-11.386689586503866,-11.555116672134005,-9.066056337434066,-11.90359770535525,-22.367993381974117,-25.485914149576654,-13.860285762373621,-11.68431735259935,-17.853269650532894,-12.709638194740393,-12.596816629508513,0
-10.868388979294458,-16.525345315911043,-40.19614085788001,-22.234512912559126,-14.646925024300803,-6.17225609338308,-7.990854868066059,-26.968431370140678,-31.809764188763598,-15.292624928890515,-18.380619854367513,-23.706437382660557,-19.28929735089197,-13.369716690268042,0
-10.391115670489489,-11.675415851170866,-35.71996270836346,-24.186506528640034,-12.184035823512346,-6.04059513781378,-6.395880946062086,-19.97635208749072,-14.821526202232114,-11.377091151464803,-14.363372380893974,-15.990897468305743,-15.034116087940278,-11.411344299320291,0
-5.668878081026776,-3.9271929375187953,-26.467616136151996,-18.603775411439074,-9.09819025508873,-4.914906998997468,-7.746515918388578,-7.856937684724297,-4.008006388629006,-11.234684494034582,-9.1548385866955,-4.740754389128129,-12.787379330209484,-6.221452537236865,0
-4.350712302044613,-6.56691440356877,-30.528821511053245,-18.47154128837196,-12.151766506244186,-4.707713966946548,-5.99914383681968,-8.37354646129322,-13.240439022292865,-11.688505208797162,-8.704497915127414,-9.94751785029251,-14.14302922654667,-2.9728433382830284,0
-11.336020777463853,-12.398222142805027,-38.891527128423235,-23.213330134980126,-12.892813898384738,-7.093015889707343,-2.81506471772694,-15.342323498667344,-16.76352918644367,-9.957908647614817,-13.927428511111176,-24.395294601868407,-17.77275143657603,-11.760219114521302,0
-14.227991753569562,-13.811107558947027,-36.119691995024105,-23.50373916934607,-8.45819438392258,-7.056040879572416,-6.203032416507012,-18.89199520354057,-14.795660470580065,-9.449173779422527,-18.377702377901965,-24.784309333820698,-17.30250155791212,-10.658787338164384,0
